Customer,FR_Intake,TP_Intake,DFL_Intake,Register_update_intake,Total_intake,FR_Output,TP_Output,DFL_Output,Register_update_output,Total_output,FR_requests_for_information,TP_requests_for_information,DFL_requests_for_information,Register_update_requests_for_information,Total_requests_for_information
"A V Rillo & Co","3","9","13","375","400","6","9","9","441","465","3","6","7","172","188"
"Abbey National PLC","0","0","0","21566","21566","0","0","0","21780","21780","0","0","0","0","0"
"Abensons & Co","12","9","19","373","413","11","6","11","386","414","7","6","5","153","171"
"Aberdein Considine & Company","0","3","0","2543","2546","0","1","0","2600","2601","0","1","0","379","380"
"Accord Mortgages Limited","0","0","0","4552","4552","0","0","0","4665","4665","0","0","0","0","0"
"Acenden Limited","0","0","0","3405","3405","0","0","0","3861","3861","0","0","0","1","1"
"Aconveyancing Limited","16","6","57","405","484","1","6","11","307","325","1","3","6","128","138"
"Adams & Remers","4","24","11","314","353","6","12","9","259","286","6","9","7","82","104"
"Addleshaw Goddard","8","45","17","877","947","8","34","4","775","821","3","23","1","94","121"
"Advantage Property Lawyers","13","15","47","743","818","38","15","36","839","928","16","11","21","229","277"
"Aldermore Bank PLC","0","0","0","1721","1721","0","0","0","1590","1590","0","0","0","0","0"
"Alexander Grace Law Limited","35","66","121","1891","2113","17","26","45","1996","2084","10","18","26","592","646"
"Alexander JLO","0","215","17","326","558","0","111","10","183","304","0","81","8","77","166"
"Amicus Solicitors","23","36","36","331","426","12","24","16","272","324","5","15","13","113","146"
"Amphlett Lissimore","0","66","15","467","548","2","32","9","462","505","2","19","6","145","172"
"Andrew & Andrew","9","12","8","441","470","7","5","6","331","349","4","4","5","105","118"
"Angel Wilkins LLP","4","11","21","354","390","4","10","12","370","396","1","7","7","102","117"
"Anglian Water Services LTD","0","3","12","476","491","0","2","6","256","264","0","2","3","13","18"
"Anthony Collins","5","16","210","860","1091","5","7","123","891","1026","2","5","73","65","145"
"Ashfords","48","84","82","1073","1287","37","48","57","1234","1376","16","32","36","238","322"
"Ashtons Legal","27","28","109","326","490","17","13","77","318","425","9","11","37","91","148"
"AST Hampsons","10","14","69","384","477","6","8","44","314","372","3","4","29","84","120"
"Atom Bank PLC","0","0","0","731","731","0","0","0","589","589","0","0","0","0","0"
"Attwells","6","29","23","404","462","4","20","8","377","409","4","14","7","164","189"
"Aviva Equity Release (UK) Limited","0","0","0","2032","2032","0","0","0","2063","2063","0","0","0","0","0"
"Awdry Bailey & Douglas","13","22","41","382","458","14","10","24","378","426","10","7","19","111","147"
"Axiom Stone London LTD","2","32","12","547","593","0","31","10","482","523","0","23","5","194","222"
"Backhouse Solicitors","2","52","178","186","418","3","1","41","78","123","3","1","34","33","71"
"Band Hatton Button LLP","7","57","28","276","368","4","11","13","265","293","3","6","10","80","99"
"Bank of Ireland","0","0","0","6638","6638","0","0","0","6493","6493","0","0","0","1","1"
"Bank of Scotland","0","0","0","475","475","0","0","0","455","455","0","0","0","0","0"
"Banner Jones Limited","36","34","119","748","937","27","16","69","667","779","18","14","41","244","317"
"Bannister Preston","10","60","347","425","842","16","12","99","304","431","6","10","56","53","125"
"Barcan & Kirby LLP","27","42","27","456","552","18","15","27","359","419","12","11","23","116","162"
"Barclays Bank PLC","0","0","0","1070","1070","0","0","0","1056","1056","0","0","0","1","1"
"Barclays Bank UK PLC","0","0","0","33024","33024","0","0","0","32032","32032","0","0","0","1","1"
"Barclays Security Trustee LTD","0","0","0","1649","1649","0","0","0","1480","1480","0","0","0","3","3"
"Barnes & Partners","4","40","8","328","380","4","31","9","339","383","2","19","7","136","164"
"Batchelor Sharp","9","9","21","423","462","4","8","11","417","440","2","6","9","129","146"
"Battens Solicitors Limited","21","19","39","376","455","14","6","41","329","390","12","6","33","130","181"
"BBH Legal Services Limited","10","15","11","501","537","6","4","15","507","532","4","2","8","87","101"
"BDB Pitmans","1","52","23","467","543","3","31","16","431","481","2","21","13","138","174"
"Beaumont Legal","13","22","34","1319","1388","13","21","31","1640","1705","8","13","21","714","756"
"Beightons","6","4","69","288","367","0","4","39","208","251","0","4","27","80","111"
"Bell Lamb & Joynson","17","11","29","495","552","19","4","10","445","478","8","3","7","105","123"
"Bennett Oakley & Partners","4","31","20","299","354","5","17","16","200","238","2","9","10","70","91"
"Bermans LLP","6","15","3","595","619","3","1","3","515","522","2","1","3","75","81"
"Best Solicitors","14","8","29","328","379","5","5","12","344","366","5","4","9","135","153"
"Bevan Brittan","2","69","202","388","661","2","98","127","425","652","2","35","61","73","171"
"BG Solicitors LLP","17","11","52","332","412","21","1","24","332","378","9","0","14","77","100"
"BHW Solicitors","20","30","208","531","789","8","15","105","429","557","2","10","65","157","234"
"Birchall Blackburn","39","43","101","1565","1748","40","22","56","1221","1339","19","14","35","330","398"
"Bird & Co","12","178","28","394","612","6","33","21","363","423","6","26","15","144","191"
"Birketts LLP","66","176","290","2088","2620","45","81","175","1549","1850","23","50","116","448","637"
"Biscoes","19","21","24","336","400","8","19","8","340","375","4","13","8","126","151"
"Bishop & Sewell","3","100","10","404","517","3","88","5","394","490","2","34","5","109","150"
"Bishopsgate Law Limited","13","30","31","683","757","7","18","18","866","909","6","11","12","317","346"
"Blackett Hart & Pratt","18","4","34","498","554","7","3","14","331","355","4","3","8","122","137"
"Blackhurst Budd Limited","20","36","17","446","519","10","15","16","290","331","6","13","13","146","178"
"Blacks Solicitors","22","110","73","1834","2039","19","69","42","1665","1795","14","44","24","763","845"
"Blake Morgan","22","83","88","952","1145","18","38","68","889","1013","11","27","53","176","267"
"BLB","12","38","74","390","514","9","10","38","313","370","6","7","31","117","161"
"Bower & Bailey","41","116","179","1317","1653","29","60","133","1368","1590","16","42","81","390","529"
"Boyes Turner","0","123","34","239","396","3","54","19","193","269","2","23","12","50","87"
"Boys & Maughan","3","126","69","862","1060","5","51","44","789","889","4","27","32","296","359"
"BPL Solicitors","30","28","102","956","1116","10","20","33","885","948","7","12","24","304","347"
"Brabners LLP","8","43","67","490","608","10","17","11","279","317","6","6","8","80","100"
"Brearleys","17","14","46","507","584","15","7","24","474","520","11","4","12","125","152"
"Brecher","2","29","22","366","419","1","9","15","249","274","1","6","7","76","90"
"Bridge McFarland Solicitors","45","25","139","866","1075","37","12","54","765","868","25","5","32","309","371"
"Bright (South West) LLP","2","79","102","444","627","4","23","72","409","508","2","21","46","143","212"
"Brindley Twist Tafft & James","11","13","25","302","351","9","12","12","286","319","5","9","7","99","120"
"Brogan Property Lawyers","4","9","20","358","391","1","7","11","195","214","1","7","6","61","75"
"Bromford Housing Group Limited","0","0","0","350","350","0","0","0","307","307","0","0","0","0","0"
"Browne Jacobson LLP","6","53","22","473","554","2","20","27","338","387","1","11","20","80","112"
"Browns Solicitors","7","36","21","358","422","13","12","20","424","469","7","6","12","100","125"
"Bryan Cave Leighton Paisner LLP","3","381","13","1441","1838","2","31","0","384","417","1","15","0","52","68"
"Buckles Solicitors LLP","17","17","25","332","391","16","6","14","300","336","10","4","10","92","116"
"Burnetts","19","22","31","426","498","28","9","16","356","409","13","7","10","87","117"
"Butcher & Barlow","33","22","58","713","826","19","11","28","599","657","11","8","20","227","266"
"Butterworths","23","17","157","438","635","13","13","75","367","468","8","13","50","138","209"
"Cambridgeshire C C","498","0","0","10","508","398","0","0","8","406","0","0","0","3","3"
"Campions Solicitors (Nottingham)","7","35","33","376","451","7","17","26","296","346","2","12","12","105","131"
"Capsticks Solicitors LLP","0","74","91","344","509","3","8","17","143","171","2","7","13","40","62"
"Chadwick Lawrence LLP","21","93","69","1278","1461","20","35","32","1152","1239","15","28","22","454","519"
"Chafes Hague Lambert LLP","16","11","20","303","350","10","11","13","259","293","5","9","10","67","91"
"Charles Russell Speechlys LLP","4","95","34","992","1125","13","70","22","643","748","6","38","13","127","184"
"Charter Court Financial Services Limted","0","0","0","3132","3132","0","0","0","3123","3123","0","0","0","10","10"
"Chartsbridge Group Limited","0","0","0","640","640","0","0","0","434","434","0","0","0","44","44"
"Chattertons (Inc Chattertons McKinnells)","65","16","85","713","879","40","8","91","671","810","22","5","49","232","308"
"CHL Mortgages (Capital Home Loans)","0","0","0","660","660","0","0","0","660","660","0","0","0","0","0"
"Chubb Bulleid","31","10","46","340","427","18","5","30","298","351","10","3","24","84","121"
"Churchers  Solicitors","15","19","27","411","472","18","20","8","367","413","8","14","7","118","147"
"Clarion Solicitors LTD","5","10","8","343","366","1","7","5","304","317","1","3","5","90","99"
"Clarke Willmott","28","140","97","973","1238","26","84","48","1180","1338","12","68","37","183","300"
"Clarkes Solicitors","11","6","42","344","403","8","11","17","264","300","5","10","10","105","130"
"Clyde & Co LLP","4","61","19","408","492","2","18","5","206","231","1","10","2","57","70"
"Clydesdale Bank PLC","0","0","0","6663","6663","0","0","0","7885","7885","0","0","0","2","2"
"CMS Cameron McKenna LLP","6","116","24","1596","1742","1","136","19","951","1107","0","34","9","189","232"
"Co-operative Legal Sevices","37","0","0","1340","1377","39","0","0","1258","1297","14","0","0","67","81"
"Coffin Mew LLP","46","63","295","496","900","41","75","253","357","726","5","31","92","90","218"
"Coles Miller Solicitors LLP","18","61","19","448","546","5","47","8","384","444","2","21","6","107","136"
"Collingbourne Hennah Limited","22","57","53","865","997","10","20","22","593","645","10","16","17","308","351"
"Comptons","1","74","1","353","429","0","56","6","319","381","0","34","5","116","155"
"Computershare Mortgage SVS LTD","0","0","0","2763","2763","0","0","0","2626","2626","0","0","0","0","0"
"Connect2law LTD","7","20","17","858","902","4","8","21","690","723","2","5","17","188","212"
"Convey Law Limited","25","35","67","1511","1638","23","37","47","1305","1412","15","25","33","707","780"
